   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.74099,             0.81048,               0.813,             0.65036,            0.013169,            0.026083,            0.021118,             0.00797,             0.01031,             0.97666,             0.00022,              3.0974,              0.7343,             0.09451,             0.04208,             0.53189,               0.822,              1.4076,              1.2131,                 0.2,              5.6826,                   0,             0.00859,             0.61873,             0.33926,                   0,             0.09311,             0.38724,                   0,                   0,                   0,                 0.5,             0.80478,                   0,                   0,                   2
             0.72467,             0.83364,             0.81707,             0.65286,            0.010561,            0.021158,            0.019625,             0.00858,                0.01,                0.98,             0.00044,               3.014,             0.78913,             0.08155,             0.03315,             0.53189,             0.75357,              1.1452,              1.2001,                 0.2,              4.1977,                   0,             0.00822,             0.64912,             0.27591,                   0,             0.09217,             0.38909,                   0,                   0,                   0,                 0.5,             0.78187,                   0,                   0,              2.5633
             0.72942,             0.83496,             0.82119,             0.65646,            0.010539,            0.022475,            0.019842,             0.00827,                0.01,                0.98,             0.00046,              2.9128,             0.91205,             0.08163,             0.03286,             0.52281,             0.85575,              1.1587,              1.2849,                 0.2,              4.4108,                   0,             0.00783,             0.62562,             0.24808,                   0,             0.10751,             0.37908,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              2.5579
             0.74028,             0.81039,             0.81842,              0.6532,            0.010593,            0.020303,            0.020088,             0.00887,                0.01,                0.98,             0.00046,              3.0974,             0.78159,             0.07627,             0.03395,             0.54738,             0.76002,              1.1926,              1.0787,                 0.2,              3.9842,                   0,             0.00547,             0.63531,             0.24394,                   0,             0.07328,              0.3302,                   0,                   0,                   0,                 0.5,              0.8047,                   0,                   0,              2.5633
             0.73536,             0.80719,             0.80944,             0.63933,             0.01021,            0.020546,            0.023588,             0.00916,             0.01026,                0.98,             0.00048,              2.8822,             0.84953,             0.08483,             0.03282,             0.55899,             0.77378,              1.0746,               1.268,                 0.2,              4.4108,                   0,             0.00853,             0.58853,             0.27599,                   0,             0.08312,             0.34435,                   0,                   0,                   0,                 0.5,             0.76019,                   0,                   0,              2.1865
             0.72945,             0.81914,              0.8098,             0.64769,            0.010057,            0.019352,            0.015194,              0.0097,                0.01,                0.98,             0.00048,              2.9038,             0.83084,             0.08587,             0.03262,             0.45196,             0.62996,              1.1766,              0.9764,                 0.2,              4.8495,                   0,             0.00908,             0.65453,             0.24799,                   0,              0.1024,             0.31414,                   0,                   0,                   0,                 0.5,             0.91969,                   0,                   0,               2.705
             0.72331,             0.83253,             0.80665,              0.6416,            0.010922,            0.021503,            0.022611,             0.00852,             0.01003,             0.97358,             0.00045,              3.0456,             0.79326,             0.08257,             0.03464,             0.53636,             0.78231,              1.1535,              1.1774,                 0.2,              4.4108,                   0,              0.0087,             0.65453,             0.27591,                   0,             0.09502,             0.37445,                   0,                   0,                   0,                 0.5,             0.78747,                   0,                   0,              2.4232
             0.72401,             0.82354,             0.82576,             0.65823,             0.01163,            0.023913,            0.017323,             0.01046,                0.01,             0.96088,             0.00025,              3.2518,             0.55979,             0.07822,             0.03719,             0.41524,             0.94357,              1.1587,               1.402,                 0.2,              3.5784,                   0,             0.00859,             0.65453,             0.28856,                   0,             0.10339,              0.3629,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6311
             0.72539,             0.82807,             0.82209,             0.65475,            0.012483,            0.015977,            0.016483,             0.00986,                0.01,                0.98,             0.00044,              2.6954,              0.7859,             0.08779,             0.04032,             0.45968,             0.75357,              1.0481,             0.89664,                 0.2,               4.115,                   0,             0.00859,             0.56472,             0.28811,                   0,             0.09333,             0.33379,                   0,                   0,                   0,                 0.5,             0.69365,                   0,                   0,              2.3366
             0.73131,             0.82429,             0.81755,             0.65278,            0.011373,            0.017461,            0.020785,             0.00962,             0.01031,                0.98,             0.00046,              2.9574,              0.7859,             0.08587,             0.03633,             0.57182,             0.77462,              1.0699,             0.99218,                 0.2,              4.4964,                   0,             0.00869,             0.67616,             0.30761,                   0,             0.09389,             0.39052,                   0,                   0,                   0,                 0.5,             0.81003,                   0,                   0,              2.1896
