               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,            0.030785,            0.020002,             0.01848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.012407,            0.011247,            0.011247
                   4,            0.024406,            0.018731,            0.017307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098274,           0.0098274,           0.0098274
                   5,            0.023285,             0.01832,            0.016395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098274,           0.0098274,           0.0098274
                   6,            0.020632,            0.017463,            0.015364,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082218,           0.0082218,           0.0082218
                   7,             0.01869,            0.017033,            0.014268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066161,           0.0066161,           0.0066161
                   8,            0.017167,            0.016736,            0.013442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050105,           0.0050105,           0.0050105
                   9,            0.015556,            0.016125,              0.0123,             0.71145,             0.83065,             0.80816,             0.61372,            0.019807,            0.011779,            0.026083,           0.0034048,           0.0034048,           0.0034048
                   0,            0.063523,             0.03167,             0.02713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050062,           0.0042526,           0.0042526
                   1,            0.043268,            0.026077,            0.023463,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036949,           0.0077181,           0.0077181
                   2,            0.036158,            0.021763,            0.019919,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.022986,            0.010334,            0.010334
                   3,            0.029621,            0.020368,            0.018089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011382,            0.011382,            0.011382
                   4,            0.026391,            0.019285,            0.017871,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011382,            0.011382,            0.011382
                   5,            0.023559,             0.01869,             0.01654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097891,           0.0097891,           0.0097891
