   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77494,             0.83788,             0.84276,             0.66826,             0.01403,            0.016275,            0.022068,             0.00988,             0.01144,             0.93424,             0.00051,               2.853,             0.75284,             0.08688,              0.0428,             0.54123,              1.0855,                   1,              0.9888,                 0.2,              4.2507,                   0,             0.01429,             0.63331,             0.43444,                   0,             0.09325,             0.39941,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8058
             0.74902,             0.83887,             0.83395,             0.66246,            0.015598,             0.01344,            0.015817,             0.01059,             0.01144,             0.93424,             0.00049,              2.0432,             0.69152,             0.07339,             0.04703,             0.39613,              1.1302,             0.97117,             0.78256,                 0.2,              3.8316,                   0,             0.01417,              0.5544,             0.43444,                   0,             0.09973,             0.39941,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8058
             0.76087,             0.85029,             0.83824,             0.66824,            0.011966,            0.014134,            0.024404,             0.00888,             0.01203,             0.93424,             0.00052,              3.0157,              0.6458,              0.0864,             0.03873,             0.49423,              1.4266,              0.8607,              1.0177,                 0.2,              4.2507,                   0,             0.01276,             0.55804,             0.41884,                   0,             0.10009,             0.39941,                   0,                   0,                   0,                 0.5,             0.99866,                   0,                   0,              2.8058
               0.766,             0.84024,             0.83928,             0.65889,            0.013507,            0.017339,            0.018825,             0.00988,             0.01065,             0.91944,             0.00048,              2.7581,             0.75132,             0.08367,             0.04156,             0.47869,             0.99909,             0.98946,              1.1433,                 0.2,               4.078,                   0,             0.01464,             0.64823,              0.4157,                   0,             0.08647,             0.42758,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.494
             0.77554,             0.83716,             0.83624,               0.656,            0.013729,            0.013794,            0.019859,             0.01059,             0.01016,             0.91452,             0.00049,              3.3144,             0.78111,             0.10166,              0.0428,             0.51988,             0.97636,             0.94055,             0.84945,                 0.2,              3.7895,                   0,             0.01296,             0.67985,             0.35443,                   0,             0.09862,             0.32862,                   0,                   0,                   0,                 0.5,             0.95028,                   0,                   0,               3.612
             0.75898,             0.83855,             0.84043,              0.6587,           0.0090304,            0.017136,            0.015319,             0.01074,             0.01055,             0.93267,              0.0005,              3.3319,             0.60946,             0.10588,             0.02811,             0.39943,             0.94607,               1.107,              0.9888,                 0.2,              5.1233,                   0,              0.0143,             0.63331,             0.37445,                   0,             0.09325,             0.39941,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1999
             0.74732,             0.84807,             0.83907,             0.65842,            0.013985,            0.016246,            0.024429,             0.00995,             0.01129,             0.93424,             0.00051,               2.853,             0.75178,             0.08664,             0.04271,             0.54174,              1.0879,              1.0074,             0.98492,                 0.2,              4.2478,                   0,             0.01431,             0.63331,             0.43241,                   0,             0.09271,             0.39941,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8058
             0.76656,                0.81,             0.82735,             0.64477,            0.019204,            0.012037,            0.025427,             0.00988,                0.01,             0.94926,             0.00051,              2.9705,             0.73932,             0.09345,              0.0557,             0.57119,              1.1204,             0.72782,             0.97211,                 0.2,              5.6267,                   0,             0.01429,             0.72317,             0.39011,                   0,             0.10905,             0.34411,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1724
             0.74151,             0.84219,             0.83691,             0.64795,            0.013337,            0.017561,            0.027705,             0.00934,             0.01144,             0.96545,             0.00045,               2.853,             0.69774,             0.10153,             0.03694,             0.62728,              1.0855,              1.0319,              1.0482,                 0.2,              4.7125,                   0,             0.01337,             0.60201,             0.46671,                   0,             0.09633,             0.43832,                   0,                   0,                   0,                 0.5,             0.96862,                   0,                   0,              2.7214
             0.74467,              0.8511,             0.83359,              0.6465,             0.01494,            0.023494,            0.022168,             0.00855,             0.01144,             0.94579,             0.00034,              2.1523,             0.91861,             0.08688,              0.0428,             0.54123,               1.249,              1.2212,              1.3293,                 0.2,              4.2507,                   0,             0.01313,             0.60243,             0.38271,                   0,             0.09325,             0.39703,                   0,                   0,                   0,                 0.5,             0.94328,                   0,                   0,              3.2394
